(+)-7-epi-jasmonate <=> (-)-jasmonate	1579	3
ATP + GDP -> AMP + ppGpp	718 1012 	707 1367 
ATP + glucosyl-oleandomycin[in] + H2O -> ADP + glucosyl-oleandomycin[out] + phosphate + H+	718 1025 1066 	616 1025 1354 1064 
ATP + GMP <=> ADP + GDP	718 1057 	616 1012 
ATP + H2O -> ADP + phosphate + H+	718 1066 	616 1354 1064 
ATP + H2O + 3 H+[in] <=> ADP + phosphate + 4 H+[out]	718 1066 1064 	616 1354 1064 
ATP + IDP <=> ITP + ADP	718 1088 	1107 616 
ATP + isobutanoate + coenzyme A -> AMP + isobutanoyl-CoA + diphosphate	718 1098 856 	707 1099 955 
ATP + isovalerate + coenzyme A -> AMP + isovaleryl-CoA + diphosphate	718 1105 856 	707 1106 955 
ATP + K+[periplasm] + H2O -> ADP + K+[cytosol] + phosphate + H+	718 1108 1066 	616 1108 1354 1064 
ATP + L-arginine[periplasm] + H2O -> ADP + L-arginine[cytosol] + phosphate + H+	718 1135 1066 	616 1135 1354 1064 
ATP + L-aspartate[periplasm] + H2O -> ADP + L-aspartate[cytosol] + phosphate + H+	718 1140 1066 	616 1140 1354 1064 
ATP + L-glutamine[periplasm] + H2O -> ADP + L-glutamine[cytosol] + phosphate + H+	718 1159 1066 	616 1159 1354 1064 
ATP + L-histidine[periplasm] + H2O -> ADP + L-histidine[cytosol] + phosphate + H+	718 1161 1066 	616 1161 1354 1064 
ATP + L-lysine[periplasm] + H2O -> ADP + L-lysine[cytosol] + phosphate + H+	718 1168 1066 	616 1168 1354 1064 
ATP + L-methionine + H2O -> S-adenosyl-L-methionine + phosphate + diphosphate	718 1169 1066 	1652 1354 955 
ATP + L-methionine[periplasm] + H2O -> ADP + L-methionine[cytosol] + phosphate + H+	718 1169 1066 	616 1169 1354 1064 
ATP + L-proline[periplasm] + H2O -> ADP + L-proline[cytosol] + phosphate + H+	718 1175 1066 	616 1175 1354 1064 
ATP + Mn2+[periplasm] + H2O -> ADP + Mn2+[cytosol] + phosphate + H+	718 1228 1066 	616 1228 1354 1064 
ATP + molybdate[periplasm] + H2O -> ADP + molybdate[cytosol] + phosphate + H+	718 1230 1066 	616 1230 1354 1064 
ATP + molybdopterin + H+ -> molybdopterin adenine dinucleotide + diphosphate	718 1231 1064 	1232 955 
ATP + MoO2-molybdopterin cofactor + H+ -> adenylyl molybdenum cofactor + diphosphate	718 1236 1064 	613 955 
ATP + N2-formyl-N1-(5-phospho-β-D-ribosyl)glycinamide + L-glutamine + H2O -> L-glutamate + ADP + 2-(formamido)-N1-(5-phospho-β-D-ribosyl)acetamidine + phosphate + H+	718 1285 1159 1066 	1157 616 227 1354 1064 
ATP + N6-(D-fructosyl)-L-lysine -> ADP + N6-(6-phospho-D-fructosyl)-L-lysine + H+	718 1293 	616 1292 1064 
ATP + NAD+ -> ADP + NADP+ + H+	718 1298 	616 1300 1064 
ATP + nicotinate adenine dinucleotide + L-glutamine + H2O -> L-glutamate + AMP + NAD+ + diphosphate + H+	718 1307 1159 1066 	1157 707 1298 955 1064 
ATP + phosphate[periplasm] + H2O -> ADP + phosphate[cytosol] + phosphate[cytosol] + H+	718 1354 1066 	616 1354 1354 1064 
ATP + phosphonate[periplasm] + H2O -> ADP + phosphonate[cytosol] + phosphate + H+	718 1357 1066 	616 1357 1354 1064 
ATP + propanoate <- ADP + propanoyl phosphate	616 1381 	718 1380 
ATP + putrescine[periplasm] + H2O -> ADP + putrescine[cytosol] + phosphate + H+	718 1390 1066 	616 1390 1354 1064 
ATP + pyridoxamine -> ADP + pyridoxamine 5'-phosphate + H+	718 1396 	616 1397 1064 
ATP + pyridoxine -> ADP + pyridoxine 5'-phosphate + H+	718 1398 	616 1399 1064 
ATP + ribulose = ADP + L(or D)-ribulose 5-phosphate + H+	718 2421 	616 2422 1064 
ATP + RNA(n) = RNA(n+1) + diphosphate	718 2088 	2088 955 
ATP + sn-glycerol 3-phosphate[periplasm] + H2O -> ADP + sn-glycerol 3-phosphate[cytosol] + phosphate + H+	718 1455 1066 	616 1455 1354 1064 
ATP + spermidine[periplasm] + H2O -> ADP + spermidine[cytosol] + phosphate + H+	718 1457 1066 	616 1457 1354 1064 
ATP + sulfate[periplasm] + H2O -> ADP + sulfate[cytosol] + phosphate + H+	718 1467 1066 	616 1467 1354 1064 
ATP + thiamine[periplasm] + H2O -> ADP + thiamine[cytosol] + phosphate + H+	718 1475 1066 	616 1475 1354 1064 
ATP + UMP -> ADP + UDP	718 1525 	616 1502 
ATP + UTP + ammonium -> ADP + CTP + phosphate + 2 H+	718 1537 706 	616 865 1354 1064 
ATP + UTP + L-glutamine + H2O -> ADP + CTP + L-glutamate + phosphate + 2 H+	718 1537 1159 1066 	616 865 1157 1354 1064 
ATP + β-D-fructofuranose 1-phosphate -> ADP + β-D-fructose 1,6-bisphosphate + H+	718 758 	616 762 1064 
ATP + β-D-fructofuranose 6-phosphate -> ADP + β-D-fructose 1,6-bisphosphate + H+	718 759 	616 762 1064 
autoinducer 2 -> (2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one	719	28
autoinducer 2 -> (2S,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one	719	36
autoinducer 2 + ATP -> (4S)-4-hydroxy-5-phosphooxypentane-2,3-dione + ADP + H+	719 718 	62 616 1064 
autoinducer 2[periplasm] -> autoinducer 2[cytosol]	719	719
autoinducer 2[periplasm] + ATP + H2O -> autoinducer 2[cytosol] + ADP + phosphate + H+	719 718 1066 	719 616 1354 1064 
autoinducer 2[periplasm] + H+[periplasm] -> autoinducer 2[cytosol] + H+[cytosol]	719 1064 	719 1064 
biotin + ATP + H+ -> biotinyl-5'-adenylate + diphosphate	795 718 1064 	796 955 
butan-1-ol + NAD+ <=> butan-1-al + NADH + H+	802 1298 	801 1299 1064 
butan-1-ol + NADP+ <=> butan-1-al + NADPH + H+	802 1300 	801 1301 1064 
butanoyl-CoA + acetoacetate = butanoate + acetoacetyl-CoA	804 592 	803 593 
butanoyl-CoA + acetyl-CoA <=> 3-oxohexanoyl-CoA + coenzyme A	804 595 	367 856 
cadaverine[cytosol] + L-lysine[periplasm] <=> cadaverine[periplasm] + L-lysine[cytosol]	805 1168 	805 1168 
caldariellaquinone[membrane] + 2 H+[in] + 2 e-[membrane] -> caldariellaquinol[membrane]	807 1064 1606 	806
canavaninosuccinate = L-canavanine + fumarate	808	1143 997 
carbamate + 2 H+ -> ammonium + CO2	809 1064 	706 834 
carbamate + ATP <=> carbamoyl phosphate + ADP	809 718 	810 616 
carbamate + H2O + H+ <=> ammonium + hydrogencarbonate	809 1066 1064 	706 1078 
carbamoyl phosphate -> cyanate + phosphate + H+	810	866 1354 1064 
carbonic acid <=> CO2 + H2O	813	834 1066 
carbonic acid <=> hydrogencarbonate + H+	813	1078 1064 
carboxyphosphate + ammonium -> carbamate + phosphate + 2 H+	814 706 	809 1354 1064 
Cd2+[periplasm] + ATP + H2O -> Cd2+[cytosol] + ADP + phosphate + H+	815 718 1066 	815 616 1354 1064 
CDP + ATP -> CTP + ADP	816 718 	865 616 
CDP + H2O -> CMP + phosphate + H+	816 1066 	831 1354 1064 
cellulose + H2O -> 2 a cellodextrin	2423 1066 	2424
chitin + H2O -> 2 a chitodextrin	2425 1066 	1943
chloride[periplasm] -> chloride[cytosol]	820	820
choline[periplasm] -> choline[cytosol]	821	821
chorismate -> isochorismate	822	1100
chorismate -> prephenate	822	1372
chorismate + L-glutamine -> 4-amino-4-deoxychorismate + L-glutamate	822 1159 	404 1157 
chorismate + L-glutamine -> anthranilate + L-glutamate + pyruvate + H+	822 1159 	713 1157 1401 1064 
cis-aconitate + H2O <=> D-threo-isocitrate	824 1066 	919
cis-dienelactone + H2O -> 2-maleylacetate + H+	825 1066 	261 1064 
cis-vaccenate + ATP + coenzyme A + H+ -> cis-vaccenoyl-CoA + AMP + diphosphate + H+	826 718 856 1064 	827 707 955 1064 
cis-vaccenoyl-CoA + 1-cis-vaccenoyl-sn-glycerol-3-phosphate -> 1,2-dicis-vaccenoyl-phosphatidate + coenzyme A	827 163 	146 856 
cis-vaccenoyl-CoA + 1-palmitoyl-sn-glycerol 3-phosphate -> 1-palmitoyl-2-cis-vaccenoyl phosphatidate + coenzyme A	827 177 	173 856 
cis-vaccenyl acetate + H2O -> cis-vaccenyl alcohol + acetate + H+	828 1066 	829 591 1064 
citrate = acetate + oxaloacetate	830	591 1332 
citrate <=> cis-aconitate + H2O	830	824 1066 
citrate <=> D-threo-isocitrate	830	919
citrate + an acetyl-holo [citrate lyase acyl-carrier protein] + H+ -> a citryl-holo [citrate lyase acyl-carrier protein] + acetate	830 1993 1064 	1992 591 
CMP + H2O -> cytidine + phosphate	831 1066 	875 1354 
CMP-3-deoxy-β-D-manno-octulosonate + lipid IVA -> α-Kdo-(2->6)-lipid IVA + CMP + H+	833 1201 	2426 831 1064 
CMP-3-deoxy-β-D-manno-octulosonate + α-Kdo-(2->6)-lipid IVA -> α-Kdo-(2->4)-α-Kdo-(2->6)-lipid IVA + CMP + H+	833 2426 	2033 831 1064 
CO2 + 7,8-diaminopelargonate + ATP -> dethiobiotin + ADP + phosphate + 3 H+	834 498 718 	936 616 1354 1064 
Co2+[periplasm] <- Co2+[cytosol]	835	835
CO2[out] + H+[out] + 2 e-[membrane] -> formate[out]	834 1064 1606 	995
cob(I)alamin-[corrinoid adenosyltranferase] + ATP -> adenosylcob(III)alamin-[corrinoid adenosyltranferase] + triphosphate	1642 718 	2237 1495 
cob(II)alamin + a [corrinoid adenosyltransferase] -> cob(II)alamin-[corrinoid adenosyltranferase]	852 1631 	1641
cob(II)alamin-[CblC-CblD complex] + a [corrinoid adenosyltransferase] -> cob(II)alamin-[corrinoid adenosyltranferase] + a [cyanocobalamin reductase CblC] + a [cobalamin trafficking protein CblD]	1634 1631 	1641 1637 1638 
cob(II)inamide + a [corrinoid adenosyltransferase] -> [corrinoid adenosyltranferase]-cob(II)inamide	853 1631 	1575
cob(II)yrinate a,c-diamide + a [corrinoid adenosyltransferase] -> cob(II)yrinate a,c-diamide-[corrinoid adenosyltranferase]	854 1631 	855
coproporphyrinogen III + oxygen + 2 H+ -> protoporphyrinogen IX + 2 CO2 + 2 H2O	858 1336 1064 	1385 834 1066 
Coα-[α-(2-methyladenin-9-yl)]-Coβ-adenosylcobamide 5'-phosphate + H2O -> Coα-[α-(2-methyladenin-7-yl)]-Coβ-adenosylcobamide + phosphate	2238 1066 	2427 1354 
Coα-[α-(5-hydroxybenzimidazolyl)]-Coβ-adenosylcobamide 5'-phosphate + H2O -> Coα-[α-(5-hydroxybenzimidazolyl)]-Coβ-adenosylcobamide + phosphate	2239 1066 	2428 1354 
Coα-[α-(5-methoxy-6-methylbenzimidazolyl)]-Coβ-adenosylcobamide 5'-phosphate + H2O -> Coα-[α-(5-methoxy-6-methyl-benzimidazolyl)]-Coβ-adenosylcobamide + phosphate	2240 1066 	2429 1354 
Coα-[α-(5-methoxybenzimidazolyl)]-Coβ-adenosylcobamide 5'-phosphate + H2O -> Coα-[α-(5-methoxybenzimidazolyl)]-Coβ-adenosylcobamide + phosphate	2241 1066 	2430 1354 
Coα-[α-(5-methylbenzimidazolyl)]-Coβ-adenosylcobamide 5'-phosphate + H2O -> Coα-[α-(5-methylbenzimidazolyl)]-Coβ-adenosylcobamide + phosphate	2242 1066 	2431 1354 
Coα-[α-(adenin-9-yl)]-Coβ-adenosylcobamide 5'-phosphate + H2O -> Coα-[α-(adenin-7-yl)]-Coβ-adenosylcobamide + phosphate	2243 1066 	2432 1354 
Coα-[α-(benzimidazolyl)]-Coβ-adenosylcobamide 5'-phosphate + H2O -> Coα-[α-(benzimidazolyl)]-Coβ-adenosylcobamide + phosphate	2244 1066 	2433 1354 
Cr6+ + 2 NAD(P)H + oxygen -> Cr3+ + superoxide + 2 NAD(P)+ + 2 H+	862 1601 1336 	861 1470 1600 1064 
crotonobetainyl-CoA + L-carnitine <=> crotono-betaine + L-carnitinyl-CoA	864 1144 	863 1145 
CTP + 2 H2O -> CMP + 2 phosphate + 2 H+	865 1066 	831 1354 1064 
CTP + 2 hydroxyl radical -> 5-hydroxy-CTP + H2O	865 1081 	463 1066 
CTP + a 1,2-diacyl-sn-glycerol 3-phosphate + H+ -> a CDP-diacylglycerol + diphosphate	865 1939 1064 	1938 955 
CTP + a 2,3,4-saturated 1,2-diacyl-sn-glycerol 3-phosphate + H+ -> a CDP-2,3,4-saturated-diacylglycerol + diphosphate	865 1812 1064 	2434 955 
CTP + H+ + H2O -> UTP + ammonium	865 1064 1066 	1537 706 
CTP + H2O -> CDP + phosphate + H+	865 1066 	816 1354 1064 
CTP + MoO2-molybdopterin cofactor + H+ -> cytidylyl molybdenum cofactor + diphosphate	865 1236 1064 	878 955 
cyanate + hydrogencarbonate + 3 H+ -> ammonium + 2 CO2	866 1078 1064 	706 834 
cyanate + hydrogencarbonate + H+ -> carbamate + CO2	866 1078 1064 	809 834 
cyanate[periplasm] + H+[periplasm] -> cyanate[cytosol] + H+[cytosol]	866 1064 	866 1064 
cyclic di-3',5'-guanylate + H2O -> 5'-phosphoguanylyl(3'->5')guanosine + H+	867 1066 	2435 1064 
cyclic pyranopterin phosphate + 2 a thiocarboxylated [SAMP] C-terminal glycine + H2O -> 2 a [SAMP] C-terminal glycine + molybdopterin + 4 H+	868 2436 1066 	2437 1231 1064 
cyclic pyranopterin phosphate + 2 a thiocarboxylated [small subunit of molybdopterin synthase] + H2O -> 2 a small subunit of molybdopterin synthase + molybdopterin + 4 H+	868 1936 1066 	2160 1231 1064 
cyclic-2,3-O-oxalyl-L-threonate -> cyclic- 3,4-O-oxalyl-L-threonate	870	869
cyclohexane-1-carbonyl-CoA + an oxidized electron-transfer flavoprotein + H+ <=> cyclohex-1-ene-1-carbonyl-CoA + a reduced electron-transfer flavoprotein	873 1587 1064 	872 1588 
cyclohexane-1-carboxylate + ATP + coenzyme A + H2O -> cyclohexane-1-carbonyl-CoA + AMP + 2 phosphate + H+	874 718 856 1066 	873 707 1354 1064 
cystine[periplasm] + ATP + H2O -> cystine[cytosol] + ADP + phosphate + H+	2438 718 1066 	2438 616 1354 1064 
cytidine + ATP -> CMP + ADP + H+	875 718 	831 616 1064 
cytidine + H+ + H2O -> uridine + ammonium	875 1064 1066 	1532 706 
cytidine 2',3'-cyclic monophosphate + H2O -> cytidine-3'-monophosphate + H+	876 1066 	877 1064 
cytosine + H2O + H+ -> uracil + ammonium	879 1066 1064 	1529 706 
D-alanine[periplasm] -> D-alanine[cytosol]	880	880
D-alanyl-D-alanine + H2O -> 2 D-alanine	881 1066 	880
D-altronate -> 2-dehydro-3-deoxy-D-gluconate + H2O	882	243 1066 
D-altronate + NAD+ <- D-tagaturonate + NADH + H+	918 1299 1064 	882 1298 
D-altropyranose <=> aldehydo-D-altrose	2439	623
D-altropyranose <=> keto-D-psicose	2439	1112
D-arabinofuranose <=> D-arabinopyranose	2440	2441
D-arabinofuranose 5-phosphate + phosphoenolpyruvate + H2O -> 3-deoxy-D-manno-octulosonate 8-phosphate + phosphate	883 1356 1066 	329 1354 
D-arabinopyranose <=> aldehydo-D-arabinose	2441	624
D-arabinopyranose <=> D-ribulose	2441	908
D-cellobiose 6'-phosphate + H2O -> D-glucopyranose 6-phosphate + D-glucopyranose	2265 1066 	2442 1583 
D-cysteine -> hydrogen sulfide + 2-aminoprop-2-enoate	885	1077 231 
D-cysteine + H2O -> ammonium + pyruvate + hydrogen sulfide	885 1066 	706 1401 1077 
D-erythro-imidazole-glycerol-phosphate -> imidazole acetol-phosphate + H2O	886	1089 1066 
D-erythrose 4-phosphate + D-xylulose 5-phosphate -> β-D-fructofuranose 6-phosphate + D-glyceraldehyde 3-phosphate	888 923 	759 899 
D-erythrose 4-phosphate + NAD+ + H2O -> 4-phospho-D-erythronate + NADH + 2 H+	888 1298 1066 	423 1299 1064 
D-firefly luciferyl-CoA + H2O -> D-firefly luciferin + coenzyme A + H+	890 1066 	889 856 1064 
D-fructose[periplasm] + H+[periplasm] -> D-fructose[cytosol] + H+[cytosol]	2266 1064 	2266 1064 
D-galactarate -> 5-dehydro-4-deoxy-D-glucarate + H2O	891	454 1066 
D-galactarate[periplasm] -> D-galactarate[cytosol]	891	891
D-galactonate -> 2-dehydro-3-deoxy-D-galactonate + H2O	892	241 1066 
D-galactosamine 6-phosphate + H2O -> D-tagatofuranose 6-phosphate + ammonium	2443 1066 	917 706 
D-galactose[periplasm] + ATP + H2O -> D-galactose[cytosol] + ADP + phosphate + H+	2444 718 1066 	2444 616 1354 1064 
D-galactose[periplasm] + H+[periplasm] -> D-galactose[cytosol] + H+[cytosol]	2444 1064 	2444 1064 
D-glucarate -> 5-dehydro-4-deoxy-D-glucarate + H2O	893	454 1066 
D-gluconate + NAD(P)+ <=> 5-dehydro-D-gluconate + NAD(P)H + H+	894 1600 	456 1601 1064 
D-gluconate + NADP+ <- 2-keto-D-gluconate + NADPH + H+	259 1301 1064 	894 1300 
D-gluconate 6-phosphate -> 2-dehydro-3-deoxy-D-gluconate 6-phosphate + H2O	895	244 1066 
D-gluconate 6-phosphate + H2O -> D-gluconate + phosphate	895 1066 	894 1354 
D-gluconate 6-phosphate + NADP+ -> D-ribulose 5-phosphate + CO2 + NADPH	895 1300 	910 834 1301 
D-gluconate[periplasm] -> D-gluconate[cytosol]	894	894
D-glucono-1,5-lactone + H2O -> D-gluconate + H+	896 1066 	894 1064 
D-glucono-1,5-lactone[out] + 2 H+[out] + 2 e-[membrane] -> D-glucopyranose[out]	896 1064 1606 	1583
D-glucopyranose <=> keto-D-fructose	1583	1110
D-glucopyranose + ATP -> D-glucopyranose 6-phosphate + ADP + H+	1583 718 	2442 616 1064 
D-glucopyranose 6-phosphate -> 1D-myo-inositol 3-monophosphate	2442	197
D-glucopyranose 6-phosphate <=> β-D-fructofuranose 6-phosphate	2442	759
D-glucopyranose 6-phosphate + H2O -> D-glucopyranose + phosphate	2442 1066 	1583 1354 
D-glucopyranose 6-phosphate + NADP+ -> 6-phospho D-glucono-1,5-lactone + NADPH + H+	2442 1300 	495 1301 1064 
D-glucopyranose[out] + a ubiquinone[inner membrane] -> D-glucono-1,5-lactone[out] + an ubiquinol[inner membrane]	1583 1602 	896 1603 
D-glucopyranuronate <=> aldehydo-D-glucuronate	2226	629
D-glucosamine 6-phosphate <=> α-D-glucosamine 1-phosphate	2120	2234
D-glucose[periplasm] -> D-glucose[cytosol]	2269	2269
D-glyceraldehyde 3-phosphate <=> glycerone phosphate	899	1032
D-glyceraldehyde 3-phosphate + NAD+ + phosphate <=> 3-phospho-D-glyceroyl-phosphate + NADH + H+	899 1298 1354 	374 1299 1064 
D-glycero-D-manno-heptose 7-phosphate + ATP -> D-glycero-β-D-manno-heptose 1,7-bisphosphate + ADP + H+	2445 718 	900 616 1064 
D-glycero-β-D-manno-heptose 1,7-bisphosphate + H2O -> D-glycero-β-D-manno-heptose 1-phosphate + phosphate	900 1066 	901 1354 
D-glycero-β-D-manno-heptose 1-phosphate + ATP + H+ -> ADP-D-glycero-β-D-manno-heptose + diphosphate	901 718 1064 	619 955 
D-mannitol + NAD+ = aldehydo-D-mannose + NADH + H+	903 1298 	630 1299 1064 
D-mannitol 1-phosphate + H2O -> D-mannitol + phosphate	904 1066 	903 1354 
D-mannitol 1-phosphate + NAD+ -> β-D-fructofuranose 6-phosphate + NADH + H+	904 1298 	759 1299 1064 
D-mannonate -> 2-dehydro-3-deoxy-D-gluconate + H2O	905	243 1066 
D-mannonate + NAD+ <- D-fructuronate + NADH + H+	2248 1299 1064 	905 1298 
D-mannopyranose 6-phosphate <=> β-D-fructofuranose 6-phosphate	2446	759
D-ribofuranose + ATP -> D-ribofuranose 5-phosphate + ADP + H+	2236 718 	2247 616 1064 
D-ribofuranose 5-phosphate + uracil <- pseudouridine 5'-phosphate + H2O	1387 1066 	2247 1529 
D-ribose 5-phosphate <- D-ribulose 5-phosphate	910	2447
D-ribose 5-phosphate + ATP -> 5-phospho-α-D-ribose 1-diphosphate + AMP + H+	2447 718 	1618 707 1064 
D-ribose[periplasm] + ATP + H2O -> D-ribose[cytosol] + ADP + phosphate + H+	2448 718 1066 	2448 616 1354 1064 
D-ribulose + ATP -> D-ribulose 1-phosphate + ADP + H+	908 718 	909 616 1064 
D-ribulose 1-phosphate -> glycolaldehyde + glycerone phosphate	909	1045 1032 
D-ribulose 5-phosphate -> D-xylulose 5-phosphate	910	923
D-ribulose 5-phosphate -> formate + 1-deoxy-L-glycero-tetrulose 4-phosphate + H+	910	995 165 1064 
D-ribulose 5-phosphate + ATP = D-ribulose-1,5-bisphosphate + ADP + H+	910 718 	911 616 1064 
D-sedoheptulose 1-phosphate <=> glycerone phosphate + D-erythrose	912	1032 887 
D-sedoheptulose 7-phosphate -> D-glycero-D-manno-heptose 7-phosphate	2449	2445
D-sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate <- D-ribose 5-phosphate + D-xylulose 5-phosphate	2447 923 	2449 899 
D-sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate -> β-D-fructofuranose 6-phosphate + D-erythrose 4-phosphate	2449 899 	759 888 
D-serine -> 2-aminoprop-2-enoate + H2O	913	231 1066 
D-serine -> pyruvate + ammonium	913	1401 706 
D-serine[periplasm] -> D-serine[cytosol]	913	913
D-sorbitol 6-phosphate + H2O -> D-sorbitol + phosphate	915 1066 	914 1354 
D-sorbitol 6-phosphate + NAD+ -> keto-D-fructose 6-phosphate + NADH + H+	915 1298 	2450 1299 1064 
D-sorbitol[periplasm] + H+[periplasm] -> D-sorbitol[cytosol] + H+[cytosol]	914 1064 	914 1064 
D-tagatofuranose 1,6-bisphosphate -> glycerone phosphate + D-glyceraldehyde 3-phosphate	916	1032 899 
D-tagatofuranose 6-phosphate <=> keto-D-tagatose 6-phosphate	917	1113
D-tagatofuranose 6-phosphate + ATP -> D-tagatofuranose 1,6-bisphosphate + ADP + H+	917 718 	916 616 1064 
D-threo-isocitrate -> glyoxylate + succinate	919	1055 1462 
D-threo-isocitrate + NADP+ <=> 2-oxoglutarate + CO2 + NADPH	919 1300 	280 834 1301 
D-threo-isocitrate + NADP+ <=> oxalosuccinate + NADPH + H+	919 1300 	1333 1301 1064 
D-xylose <=> D-xylulose	2451	922
D-xylose[periplasm] -> D-xylose[cytosol]	2451	2451
D-xylulose + ATP -> D-xylulose 5-phosphate + ADP + H+	922 718 	923 616 1064 
dADP + an oxidized NrdH glutaredoxin-like protein + H2O <- ADP + a reduced NrdH glutaredoxin-like protein	616 2453 	924 2452 1066 
dADP + an oxidized thioredoxin + H2O <- ADP + a reduced thioredoxin	616 1682 	924 1683 1066 
dADP + ATP -> dATP + ADP	924 718 	926 616 
dAMP + H2O -> 2'-deoxyadenosine + phosphate	925 1066 	203 1354 
dATP + 2 hydroxyl radical -> 2-hydroxy-dATP + H2O	926 1081 	252 1066 
dCDP + an oxidized NrdH glutaredoxin-like protein + H2O <- CDP + a reduced NrdH glutaredoxin-like protein	816 2453 	927 2452 1066 
dCDP + an oxidized thioredoxin + H2O <- CDP + a reduced thioredoxin	816 1682 	927 1683 1066 
dCDP + ATP -> dCTP + ADP	927 718 	929 616 
dCMP + H2O -> 2'-deoxycytidine + phosphate	928 1066 	204 1354 
dCTP + H+ + H2O -> ammonium + dUTP	929 1064 1066 	706 975 
dCTP + H2O -> dCMP + diphosphate + H+	929 1066 	928 955 1064 
decanoate + ATP + coenzyme A -> decanoyl-CoA + AMP + diphosphate	930 718 856 	931 707 955 
decanoyl-CoA + acetyl-CoA <- 3-oxododecanoyl-CoA + coenzyme A	366 856 	931 595 
decaprenyl-diphospho-N-acetylmuramoyl-pentapeptide + UDP-N-acetyl-α-D-glucosamine = decaprenyl-pyrophosphoryl-(N-acetylglucosamine)-N-acetylmuramyl-(pentapeptide) + UDP + H+	932 2454 	933 1502 1064 
dehydro(indole-3-yl)acetonitrile + glutathione -> (glutathion-S-yl)(1H-indol-3-yl)acetonitrile	934 1027 	96
dehydroascorbate (bicyclic form) -> 2,3-dioxo-L-gulonate + H+	935	215 1064 
dGDP + an oxidized NrdH glutaredoxin-like protein + H2O <- GDP + a reduced NrdH glutaredoxin-like protein	1012 2453 	937 2452 1066 
dGDP + an oxidized thioredoxin + H2O <- GDP + a reduced thioredoxin	1012 1682 	937 1683 1066 
dGDP + ATP -> dGTP + ADP	937 718 	939 616 
dGMP + H2O -> 2'-deoxyguanosine + phosphate	938 1066 	205 1354 
dGTP + 2 hydroxyl radical -> 8-oxo-dGTP + H2O	939 1081 	518 1066 
dGTP + H2O -> triphosphate + 2'-deoxyguanosine + H+	939 1066 	1495 205 1064 
